"INDICATOR","Indicator","FAM_TYPE","Family type","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,13415.055333,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,14009.468209,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,14694.350379,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,15027.910243,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,15423.039031,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,15884.175194,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,16077.241503,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,16186.584019,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,16848.695005,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,18410.900519,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,18790.706707,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,20057.695505,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,20438.51551,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,8004.513556,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,8223.066306,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,8438.061271,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,8883.111762,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,9199.820081,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,9477.894787,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,9742.655084,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,10015.491334,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,10083.372993,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,10138.813319,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,10144.924851,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,10155.620032,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,10373.670763,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,10617.695505,,
"024","Deduction for social security contributions and income taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,10818.51551,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,4538.966863,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,4769.155411,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,4976.994062,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,5126.356447,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,5494.530298,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,5550.015456,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,5680.383947,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,5868.68386,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,5993.86851,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,6047.7707,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,6703.770154,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,8255.280487,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,8417.035944,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,9440,,
"025","Work-related expenses tax allowance","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,9620,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,0,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,48699.92858,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,49923.358283,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,51145.474667,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,53956.191791,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,55694.479621,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,57488.499757,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,59119.080969,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,60745.444806,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,61071.748497,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,61386.585981,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,60771.234995,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,59290.859481,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,60579.383293,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,61179.454495,,
"04","Central government taxable income","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,62335.130317,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,17501.967861,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,17930.511227,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,18398.4636,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,19580.286306,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,20151.51583,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,20981.612665,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,21623.077064,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,22164.295603,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,22142.286824,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,22223.963691,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,21930.055748,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,21022.886766,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,21490.722482,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,21404.754523,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,21736.808643,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,3772,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,3877.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,3944,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,4078,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,4262.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,4262.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,4352,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,4506,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,4631,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,4685.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,4700.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,4726,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,4821,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,5013.5,,
"06","Tax credits","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,5652.5,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,0,,
"061","Basic tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,0,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,2890,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,2970,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,3020,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,3137.5,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,3280,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,3280,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,3350,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,3467.5,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,3565,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,3605,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,3617.5,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,3637.5,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,3710,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,3865,,
"062","Married or head of family tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,4430,,
"063","Child tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,882,,
"063","Child tax credit","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,907.5,,
