"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T","Total","TOTAL","Total","2012","2012",11067748,,
"BEL","Belgium","T","Total","TOTAL","Total","2013","2013",11125033,,
"BEL","Belgium","T","Total","TOTAL","Total","2014","2014",11179778,,
"BEL","Belgium","T","Total","TOTAL","Total","2015","2015",11238474,,
"BEL","Belgium","T","Total","TOTAL","Total","2016","2016",11295003,,
"BEL","Belgium","T","Total","TOTAL","Total","2017","2017",11349081,,
"BEL","Belgium","T","Total","TOTAL","Total","2018","2018",11403740,,
"FRA","France","W","Women","TOTAL","Total","2005","2005",32490510,,
"FRA","France","W","Women","TOTAL","Total","2006","2006",32717508,,
"FRA","France","W","Women","TOTAL","Total","2007","2007",32911253,,
"FRA","France","W","Women","TOTAL","Total","2008","2008",33091110,,
"FRA","France","W","Women","TOTAL","Total","2009","2009",33256028,,
"FRA","France","W","Women","TOTAL","Total","2010","2010",33412925,,
"FRA","France","W","Women","TOTAL","Total","2011","2011",33572806,,
"FRA","France","W","Women","TOTAL","Total","2012","2012",33731249,,
"FRA","France","W","Women","TOTAL","Total","2013","2013",33898446,,
"FRA","France","W","Women","TOTAL","Total","2014","2014",34184117,,
"FRA","France","W","Women","TOTAL","Total","2015","2015",34319022,,
"FRA","France","W","Women","TOTAL","Total","2016","2016",34419639,,
"FRA","France","W","Women","TOTAL","Total","2017","2017",34502005,,
"FRA","France","W","Women","TOTAL","Total","2018","2018",34567729,,
"FRA","France","M","Men","TOTAL","Total","2005","2005",30467818,,
"FRA","France","M","Men","TOTAL","Total","2006","2006",30675898,,
"FRA","France","M","Men","TOTAL","Total","2007","2007",30870022,,
"FRA","France","M","Men","TOTAL","Total","2008","2008",31042064,,
"FRA","France","M","Men","TOTAL","Total","2009","2009",31202687,,
"FRA","France","M","Men","TOTAL","Total","2010","2010",31360244,,
"FRA","France","M","Men","TOTAL","Total","2011","2011",31514511,,
"FRA","France","M","Men","TOTAL","Total","2012","2012",31671749,,
"FRA","France","M","Men","TOTAL","Total","2013","2013",31837515,,
"FRA","France","M","Men","TOTAL","Total","2014","2014",32092554,,
"FRA","France","M","Men","TOTAL","Total","2015","2015",32193536,,
"FRA","France","M","Men","TOTAL","Total","2016","2016",32265891,,
"FRA","France","M","Men","TOTAL","Total","2017","2017",32327558,,
"FRA","France","M","Men","TOTAL","Total","2018","2018",32373969,,
"FRA","France","T","Total","TOTAL","Total","2005","2005",62958328,,
"FRA","France","T","Total","TOTAL","Total","2006","2006",63393406,,
"FRA","France","T","Total","TOTAL","Total","2007","2007",63781275,,
"FRA","France","T","Total","TOTAL","Total","2008","2008",64133174,,
"FRA","France","T","Total","TOTAL","Total","2009","2009",64458715,,
"FRA","France","T","Total","TOTAL","Total","2010","2010",64773169,,
"FRA","France","T","Total","TOTAL","Total","2011","2011",65087317,,
"FRA","France","T","Total","TOTAL","Total","2012","2012",65402998,,
"FRA","France","T","Total","TOTAL","Total","2013","2013",65735961,,
"FRA","France","T","Total","TOTAL","Total","2014","2014",66276671,,
"FRA","France","T","Total","TOTAL","Total","2015","2015",66512558,,
"FRA","France","T","Total","TOTAL","Total","2016","2016",66685530,,
"FRA","France","T","Total","TOTAL","Total","2017","2017",66829563,,
"FRA","France","T","Total","TOTAL","Total","2018","2018",66941698,,
"DEU","Germany","W","Women","TOTAL","Total","2005","2005",42122629,,
"DEU","Germany","W","Women","TOTAL","Total","2006","2006",42055883,,
"DEU","Germany","W","Women","TOTAL","Total","2007","2007",41978642,,
"DEU","Germany","W","Women","TOTAL","Total","2008","2008",41880811,,
"DEU","Germany","W","Women","TOTAL","Total","2009","2009",41758360,,
"DEU","Germany","W","Women","TOTAL","Total","2010","2010",41668915,,
"DEU","Germany","W","Women","TOTAL","Total","2011","2011",41097710,,
"DEU","Germany","W","Women","TOTAL","Total","2012","2012",41120365,,
"DEU","Germany","W","Women","TOTAL","Total","2013","2013",41176655,,
"DEU","Germany","W","Women","TOTAL","Total","2014","2014",41286307,,
"DEU","Germany","W","Women","TOTAL","Total","2015","2015",41511818,,
"DEU","Germany","W","Women","TOTAL","Total","2016","2016",41743046,,
"DEU","Germany","W","Women","TOTAL","Total","2017","2017",41886658,,
"DEU","Germany","W","Women","TOTAL","Total","2018","2018",42005398,,
"DEU","Germany","M","Men","TOTAL","Total","2005","2005",40346792,,
"DEU","Germany","M","Men","TOTAL","Total","2006","2006",40320564,,
"DEU","Germany","M","Men","TOTAL","Total","2007","2007",40287731,,
"DEU","Germany","M","Men","TOTAL","Total","2008","2008",40229286,,
"DEU","Germany","M","Men","TOTAL","Total","2009","2009",40143948,,
"DEU","Germany","M","Men","TOTAL","Total","2010","2010",40108021,,
"DEU","Germany","M","Men","TOTAL","Total","2011","2011",39177271,,
"DEU","Germany","M","Men","TOTAL","Total","2012","2012",39305461,,
"DEU","Germany","M","Men","TOTAL","Total","2013","2013",39468950,,
"DEU","Germany","M","Men","TOTAL","Total","2014","2014",39696188,,
"DEU","Germany","M","Men","TOTAL","Total","2015","2015",40174790,,
"DEU","Germany","M","Men","TOTAL","Total","2016","2016",40605623,,
"DEU","Germany","M","Men","TOTAL","Total","2017","2017",40770339,,
"DEU","Germany","M","Men","TOTAL","Total","2018","2018",40908793,,
"DEU","Germany","T","Total","TOTAL","Total","2005","2005",82469421,,
"DEU","Germany","T","Total","TOTAL","Total","2006","2006",82376447,,
"DEU","Germany","T","Total","TOTAL","Total","2007","2007",82266373,,
"DEU","Germany","T","Total","TOTAL","Total","2008","2008",82110097,,
"DEU","Germany","T","Total","TOTAL","Total","2009","2009",81902308,,
"DEU","Germany","T","Total","TOTAL","Total","2010","2010",81776936,,
"DEU","Germany","T","Total","TOTAL","Total","2011","2011",80274981,,
"DEU","Germany","T","Total","TOTAL","Total","2012","2012",80425826,,
"DEU","Germany","T","Total","TOTAL","Total","2013","2013",80645605,,
"DEU","Germany","T","Total","TOTAL","Total","2014","2014",80982495,,
"DEU","Germany","T","Total","TOTAL","Total","2015","2015",81686608,,
"DEU","Germany","T","Total","TOTAL","Total","2016","2016",82348669,,
"DEU","Germany","T","Total","TOTAL","Total","2017","2017",82656997,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82914191,,
"NLD","Netherlands","W","Women","TOTAL","Total","2005","2005",8248178,,
"NLD","Netherlands","W","Women","TOTAL","Total","2006","2006",8263140,,
"NLD","Netherlands","W","Women","TOTAL","Total","2007","2007",8281402,,
"NLD","Netherlands","W","Women","TOTAL","Total","2008","2008",8311360,,
"NLD","Netherlands","W","Women","TOTAL","Total","2009","2009",8350452,,
"NLD","Netherlands","W","Women","TOTAL","Total","2010","2010",8391911,,
"NLD","Netherlands","W","Women","TOTAL","Total","2011","2011",8429897,,
"NLD","Netherlands","W","Women","TOTAL","Total","2012","2012",8459856,,
"NLD","Netherlands","W","Women","TOTAL","Total","2013","2013",8483568,,
"NLD","Netherlands","W","Women","TOTAL","Total","2014","2014",8511387,,
"NLD","Netherlands","W","Women","TOTAL","Total","2015","2015",8544923,,
"NLD","Netherlands","W","Women","TOTAL","Total","2016","2016",8584197,,
"NLD","Netherlands","W","Women","TOTAL","Total","2017","2017",8630221,,
"NLD","Netherlands","W","Women","TOTAL","Total","2018","2018",8677561,,
"NLD","Netherlands","M","Men","TOTAL","Total","2005","2005",8071693,,
"NLD","Netherlands","M","Men","TOTAL","Total","2006","2006",8082956,,
"NLD","Netherlands","M","Men","TOTAL","Total","2007","2007",8100294,,
"NLD","Netherlands","M","Men","TOTAL","Total","2008","2008",8134230,,
"NLD","Netherlands","M","Men","TOTAL","Total","2009","2009",8179935,,
"NLD","Netherlands","M","Men","TOTAL","Total","2010","2010",8223479,,
"NLD","Netherlands","M","Men","TOTAL","Total","2011","2011",8263177,,
"NLD","Netherlands","M","Men","TOTAL","Total","2012","2012",8295107,,
"NLD","Netherlands","M","Men","TOTAL","Total","2013","2013",8320862,,
"NLD","Netherlands","M","Men","TOTAL","Total","2014","2014",8353621,,
"NLD","Netherlands","M","Men","TOTAL","Total","2015","2015",8395002,,
"NLD","Netherlands","M","Men","TOTAL","Total","2016","2016",8446117,,
"NLD","Netherlands","M","Men","TOTAL","Total","2017","2017",8501074,,
"NLD","Netherlands","M","Men","TOTAL","Total","2018","2018",8554061,,
"NLD","Netherlands","T","Total","TOTAL","Total","2005","2005",16319871,,
"NLD","Netherlands","T","Total","TOTAL","Total","2006","2006",16346096,,
"NLD","Netherlands","T","Total","TOTAL","Total","2007","2007",16381696,,
"NLD","Netherlands","T","Total","TOTAL","Total","2008","2008",16445590,,
"NLD","Netherlands","T","Total","TOTAL","Total","2009","2009",16530387,,
"NLD","Netherlands","T","Total","TOTAL","Total","2010","2010",16615390,,
"NLD","Netherlands","T","Total","TOTAL","Total","2011","2011",16693074,,
"NLD","Netherlands","T","Total","TOTAL","Total","2012","2012",16754963,,
"NLD","Netherlands","T","Total","TOTAL","Total","2013","2013",16804430,,
"NLD","Netherlands","T","Total","TOTAL","Total","2014","2014",16865008,,
"NLD","Netherlands","T","Total","TOTAL","Total","2015","2015",16939925,,
"NLD","Netherlands","T","Total","TOTAL","Total","2016","2016",17030314,,
"NLD","Netherlands","T","Total","TOTAL","Total","2017","2017",17131295,,
"NLD","Netherlands","T","Total","TOTAL","Total","2018","2018",17231622,,
"CHE","Switzerland","W","Women","TOTAL","Total","2005","2005",3796516,,
"CHE","Switzerland","W","Women","TOTAL","Total","2006","2006",3818004,,
"CHE","Switzerland","W","Women","TOTAL","Total","2007","2007",3847930,,
"CHE","Switzerland","W","Women","TOTAL","Total","2008","2008",3890831,,
"CHE","Switzerland","W","Women","TOTAL","Total","2009","2009",3935211,,
"CHE","Switzerland","W","Women","TOTAL","Total","2010","2010",3973882,,
"CHE","Switzerland","W","Women","TOTAL","Total","2011","2011",4012559,,
"CHE","Switzerland","W","Women","TOTAL","Total","2012","2012",4051472,,
"CHE","Switzerland","W","Women","TOTAL","Total","2013","2013",4094041,,
"CHE","Switzerland","W","Women","TOTAL","Total","2014","2014",4140660,,
"CHE","Switzerland","W","Women","TOTAL","Total","2015","2015",4184720,,
"CHE","Switzerland","W","Women","TOTAL","Total","2016","2016",4225883,,
"CHE","Switzerland","W","Women","TOTAL","Total","2017","2017",4261902,,
"CHE","Switzerland","W","Women","TOTAL","Total","2018","2018",4291999,,
"CHE","Switzerland","M","Men","TOTAL","Total","2005","2005",3640600,,
"CHE","Switzerland","M","Men","TOTAL","Total","2006","2006",3665931,,
"CHE","Switzerland","M","Men","TOTAL","Total","2007","2007",3703187,,
"CHE","Switzerland","M","Men","TOTAL","Total","2008","2008",3756845,,
"CHE","Switzerland","M","Men","TOTAL","Total","2009","2009",3808621,,
"CHE","Switzerland","M","Men","TOTAL","Total","2010","2010",3851028,,
"CHE","Switzerland","M","Men","TOTAL","Total","2011","2011",3899837,,
"CHE","Switzerland","M","Men","TOTAL","Total","2012","2012",3945389,,
"CHE","Switzerland","M","Men","TOTAL","Total","2013","2013",3995305,,
"CHE","Switzerland","M","Men","TOTAL","Total","2014","2014",4047986,,
"CHE","Switzerland","M","Men","TOTAL","Total","2015","2015",4097678,,
"CHE","Switzerland","M","Men","TOTAL","Total","2016","2016",4147451,,
"CHE","Switzerland","M","Men","TOTAL","Total","2017","2017",4189932,,
"CHE","Switzerland","M","Men","TOTAL","Total","2018","2018",4221228,,
"CHE","Switzerland","T","Total","TOTAL","Total","2005","2005",7437116,,
"CHE","Switzerland","T","Total","TOTAL","Total","2006","2006",7483935,,
"CHE","Switzerland","T","Total","TOTAL","Total","2007","2007",7551117,,
"CHE","Switzerland","T","Total","TOTAL","Total","2008","2008",7647676,,
"CHE","Switzerland","T","Total","TOTAL","Total","2009","2009",7743832,,
"CHE","Switzerland","T","Total","TOTAL","Total","2010","2010",7824910,,
"CHE","Switzerland","T","Total","TOTAL","Total","2011","2011",7912396,,
"CHE","Switzerland","T","Total","TOTAL","Total","2012","2012",7996861,,
"CHE","Switzerland","T","Total","TOTAL","Total","2013","2013",8089346,,
"CHE","Switzerland","T","Total","TOTAL","Total","2014","2014",8188646,,
"CHE","Switzerland","T","Total","TOTAL","Total","2015","2015",8282398,,
"CHE","Switzerland","T","Total","TOTAL","Total","2016","2016",8373334,,
"CHE","Switzerland","T","Total","TOTAL","Total","2017","2017",8451834,,
"CHE","Switzerland","T","Total","TOTAL","Total","2018","2018",8513227,,
"WLD","World","W","Women","TOTAL","Total","2005","2005",3246037789,,
"WLD","World","W","Women","TOTAL","Total","2006","2006",3285984836,,
"WLD","World","W","Women","TOTAL","Total","2007","2007",3326420927,,
"WLD","World","W","Women","TOTAL","Total","2008","2008",3367288592,,
"WLD","World","W","Women","TOTAL","Total","2009","2009",3408488395,,
"WLD","World","W","Women","TOTAL","Total","2010","2010",3449929767,,
"WLD","World","W","Women","TOTAL","Total","2011","2011",3491595141,,
"WLD","World","W","Women","TOTAL","Total","2012","2012",3533454751,,
"WLD","World","W","Women","TOTAL","Total","2013","2013",3575385003,,
"WLD","World","W","Women","TOTAL","Total","2014","2014",3617232877,,
"WLD","World","W","Women","TOTAL","Total","2015","2015",3658876550,,
"WLD","World","W","Women","TOTAL","Total","2016","2016",3700249112,,
"WLD","World","W","Women","TOTAL","Total","2017","2017",3741329676,,
"WLD","World","W","Women","TOTAL","Total","2018","2018",3782099902,,
"WLD","World","M","Men","TOTAL","Total","2005","2005",3296121711,,
"WLD","World","M","Men","TOTAL","Total","2006","2006",3337862917,,
"WLD","World","M","Men","TOTAL","Total","2007","2007",3379997647,,
"WLD","World","M","Men","TOTAL","Total","2008","2008",3422482710,,
"WLD","World","M","Men","TOTAL","Total","2009","2009",3465252642,,
"WLD","World","M","Men","TOTAL","Total","2010","2010",3508239442,,
"WLD","World","M","Men","TOTAL","Total","2011","2011",3551413465,,
"WLD","World","M","Men","TOTAL","Total","2012","2012",3594722163,,
"WLD","World","M","Men","TOTAL","Total","2013","2013",3638041425,,
"WLD","World","M","Men","TOTAL","Total","2014","2014",3681220073,,
"WLD","World","M","Men","TOTAL","Total","2015","2015",3724132110,,
"WLD","World","M","Men","TOTAL","Total","2016","2016",3766715068,,
"WLD","World","M","Men","TOTAL","Total","2017","2017",3808932358,,
"WLD","World","M","Men","TOTAL","Total","2018","2018",3850719440,,
"WLD","World","T","Total","TOTAL","Total","2005","2005",6542159383,,
"WLD","World","T","Total","TOTAL","Total","2006","2006",6623847913,,
"WLD","World","T","Total","TOTAL","Total","2007","2007",6706418593,,
"WLD","World","T","Total","TOTAL","Total","2008","2008",6789771253,,
"WLD","World","T","Total","TOTAL","Total","2009","2009",6873741054,,
"WLD","World","T","Total","TOTAL","Total","2010","2010",6958169159,,
"WLD","World","T","Total","TOTAL","Total","2011","2011",7043008586,,
"WLD","World","T","Total","TOTAL","Total","2012","2012",7128176935,,
"WLD","World","T","Total","TOTAL","Total","2013","2013",7213426452,,
"WLD","World","T","Total","TOTAL","Total","2014","2014",7298453033,,
"WLD","World","T","Total","TOTAL","Total","2015","2015",7383008820,,
"WLD","World","T","Total","TOTAL","Total","2016","2016",7466964280,,
"WLD","World","T","Total","TOTAL","Total","2017","2017",7550262101,,
"WLD","World","T","Total","TOTAL","Total","2018","2018",7632819325,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2005","2005",254025620,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2006","2006",254874704,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2007","2007",255822607,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2008","2008",256761726,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2009","2009",257498314,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2010","2010",258243442,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2011","2011",258236244,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2012","2012",258745523,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2013","2013",259372612,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2014","2014",260213880,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2015","2015",260777913,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2016","2016",261343902,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2017","2017",261780324,,
"EU28","European Union (28 countries)","W","Women","TOTAL","Total","2018","2018",262219612,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2005","2005",241472201,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2006","2006",242387405,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2007","2007",243461336,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2008","2008",244487451,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2009","2009",245223779,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2010","2010",246042780,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2011","2011",245655525,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2012","2012",246239593,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2013","2013",247040365,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2014","2014",248029606,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2015","2015",248894369,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2016","2016",249808489,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2017","2017",250371311,,
"EU28","European Union (28 countries)","M","Men","TOTAL","Total","2018","2018",250959612,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2005","2005",495497820,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2006","2006",497262107,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2007","2007",499283942,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2008","2008",501249177,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2009","2009",502722092,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2010","2010",504286223,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2011","2011",503891769,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2012","2012",504985115,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2013","2013",506412977,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2014","2014",508243486,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2015","2015",509672282,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2016","2016",511152390,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2017","2017",512151635,,
"EU28","European Union (28 countries)","T","Total","TOTAL","Total","2018","2018",513179223,,
"BEL","Belgium","W","Women","0_4","0 to 4","2005","2005",282176,,
"BEL","Belgium","W","Women","0_4","0 to 4","2006","2006",285909,,
"BEL","Belgium","W","Women","0_4","0 to 4","2007","2007",290937,,
"BEL","Belgium","W","Women","0_4","0 to 4","2008","2008",297502,,
"BEL","Belgium","W","Women","0_4","0 to 4","2009","2009",304214,,
"BEL","Belgium","W","Women","0_4","0 to 4","2010","2010",310119,,
"BEL","Belgium","W","Women","0_4","0 to 4","2011","2011",314576,,
"BEL","Belgium","W","Women","0_4","0 to 4","2012","2012",316552,,
"BEL","Belgium","W","Women","0_4","0 to 4","2013","2013",316403,,
"BEL","Belgium","W","Women","0_4","0 to 4","2014","2014",314526,,
"BEL","Belgium","W","Women","0_4","0 to 4","2015","2015",311761,,
"BEL","Belgium","W","Women","0_4","0 to 4","2016","2016",308478,,
"BEL","Belgium","W","Women","0_4","0 to 4","2017","2017",304930,,
"BEL","Belgium","W","Women","0_4","0 to 4","2018","2018",301462,,
"BEL","Belgium","M","Men","0_4","0 to 4","2005","2005",295439,,
"BEL","Belgium","M","Men","0_4","0 to 4","2006","2006",299355,,
"BEL","Belgium","M","Men","0_4","0 to 4","2007","2007",304507,,
"BEL","Belgium","M","Men","0_4","0 to 4","2008","2008",311631,,
"BEL","Belgium","M","Men","0_4","0 to 4","2009","2009",318922,,
"BEL","Belgium","M","Men","0_4","0 to 4","2010","2010",324882,,
"BEL","Belgium","M","Men","0_4","0 to 4","2011","2011",329643,,
"BEL","Belgium","M","Men","0_4","0 to 4","2012","2012",331729,,
"BEL","Belgium","M","Men","0_4","0 to 4","2013","2013",331216,,
"BEL","Belgium","M","Men","0_4","0 to 4","2014","2014",329354,,
"BEL","Belgium","M","Men","0_4","0 to 4","2015","2015",326628,,
"BEL","Belgium","M","Men","0_4","0 to 4","2016","2016",323247,,
"BEL","Belgium","M","Men","0_4","0 to 4","2017","2017",319818,,
"BEL","Belgium","M","Men","0_4","0 to 4","2018","2018",316032,,
"BEL","Belgium","T","Total","0_4","0 to 4","2005","2005",577615,,
"BEL","Belgium","T","Total","0_4","0 to 4","2006","2006",585264,,
"BEL","Belgium","T","Total","0_4","0 to 4","2007","2007",595444,,
"BEL","Belgium","T","Total","0_4","0 to 4","2008","2008",609133,,
"BEL","Belgium","T","Total","0_4","0 to 4","2009","2009",623136,,
"BEL","Belgium","T","Total","0_4","0 to 4","2010","2010",635001,,
"BEL","Belgium","T","Total","0_4","0 to 4","2011","2011",644219,,
"BEL","Belgium","T","Total","0_4","0 to 4","2012","2012",648281,,
"BEL","Belgium","T","Total","0_4","0 to 4","2013","2013",647619,,
"BEL","Belgium","T","Total","0_4","0 to 4","2014","2014",643880,,
"BEL","Belgium","T","Total","0_4","0 to 4","2015","2015",638389,,
"BEL","Belgium","T","Total","0_4","0 to 4","2016","2016",631725,,
"BEL","Belgium","T","Total","0_4","0 to 4","2017","2017",624748,,
"BEL","Belgium","T","Total","0_4","0 to 4","2018","2018",617494,,
"FRA","France","W","Women","0_4","0 to 4","2005","2005",1914287,,
"FRA","France","W","Women","0_4","0 to 4","2006","2006",1916120,,
"FRA","France","W","Women","0_4","0 to 4","2007","2007",1926256,,
"FRA","France","W","Women","0_4","0 to 4","2008","2008",1938757,,
"FRA","France","W","Women","0_4","0 to 4","2009","2009",1951911,,
"FRA","France","W","Women","0_4","0 to 4","2010","2010",1962205,,
"FRA","France","W","Women","0_4","0 to 4","2011","2011",1966143,,
"FRA","France","W","Women","0_4","0 to 4","2012","2012",1963617,,
"FRA","France","W","Women","0_4","0 to 4","2013","2013",1955132,,
"FRA","France","W","Women","0_4","0 to 4","2014","2014",1960390,,
"FRA","France","W","Women","0_4","0 to 4","2015","2015",1938831,,
"FRA","France","W","Women","0_4","0 to 4","2016","2016",1907780,,
"FRA","France","W","Women","0_4","0 to 4","2017","2017",1875712,,
"FRA","France","W","Women","0_4","0 to 4","2018","2018",1842511,,
"FRA","France","M","Men","0_4","0 to 4","2005","2005",2004260,,
"FRA","France","M","Men","0_4","0 to 4","2006","2006",2005460,,
"FRA","France","M","Men","0_4","0 to 4","2007","2007",2015591,,
"FRA","France","M","Men","0_4","0 to 4","2008","2008",2027723,,
"FRA","France","M","Men","0_4","0 to 4","2009","2009",2040849,,
"FRA","France","M","Men","0_4","0 to 4","2010","2010",2052397,,
"FRA","France","M","Men","0_4","0 to 4","2011","2011",2055710,,
"FRA","France","M","Men","0_4","0 to 4","2012","2012",2053208,,
"FRA","France","M","Men","0_4","0 to 4","2013","2013",2046861,,
"FRA","France","M","Men","0_4","0 to 4","2014","2014",2047757,,
"FRA","France","M","Men","0_4","0 to 4","2015","2015",2021794,,
"FRA","France","M","Men","0_4","0 to 4","2016","2016",1990404,,
"FRA","France","M","Men","0_4","0 to 4","2017","2017",1955450,,
"FRA","France","M","Men","0_4","0 to 4","2018","2018",1918093,,
"FRA","France","T","Total","0_4","0 to 4","2005","2005",3918547,,
"FRA","France","T","Total","0_4","0 to 4","2006","2006",3921580,,
"FRA","France","T","Total","0_4","0 to 4","2007","2007",3941847,,
"FRA","France","T","Total","0_4","0 to 4","2008","2008",3966480,,
"FRA","France","T","Total","0_4","0 to 4","2009","2009",3992760,,
"FRA","France","T","Total","0_4","0 to 4","2010","2010",4014602,,
"FRA","France","T","Total","0_4","0 to 4","2011","2011",4021853,,
"FRA","France","T","Total","0_4","0 to 4","2012","2012",4016825,,
"FRA","France","T","Total","0_4","0 to 4","2013","2013",4001993,,
"FRA","France","T","Total","0_4","0 to 4","2014","2014",4008147,,
"FRA","France","T","Total","0_4","0 to 4","2015","2015",3960625,,
"FRA","France","T","Total","0_4","0 to 4","2016","2016",3898184,,
"FRA","France","T","Total","0_4","0 to 4","2017","2017",3831162,,
"FRA","France","T","Total","0_4","0 to 4","2018","2018",3760604,,
"DEU","Germany","W","Women","0_4","0 to 4","2005","2005",1760746,,
"DEU","Germany","W","Women","0_4","0 to 4","2006","2006",1722805,,
"DEU","Germany","W","Women","0_4","0 to 4","2007","2007",1697470,,
"DEU","Germany","W","Women","0_4","0 to 4","2008","2008",1683024,,
"DEU","Germany","W","Women","0_4","0 to 4","2009","2009",1668786,,
"DEU","Germany","W","Women","0_4","0 to 4","2010","2010",1660387,,
"DEU","Germany","W","Women","0_4","0 to 4","2011","2011",1650726,,
"DEU","Germany","W","Women","0_4","0 to 4","2012","2012",1651521,,
"DEU","Germany","W","Women","0_4","0 to 4","2013","2013",1657061,,
